"scenario","type","valence","mean","sd"
22,"witness","ambiguous",-0.0599400431665102,0.191922049401046
22,"witness","inculpatory",1.19432094558197,0.241522644825574
22,"character","exculpatory",-0.374597970631818,0.137491188355158
22,"character","inculpatory",0.681092312912565,0.217534504656189
23,"physical","exculpatory",-0.779113651969993,0.274946645230824
23,"physical","ambiguous",-0.268979800838676,0.298378930871677
23,"physical","inculpatory",1.8010592161622,0.302409094673933
23,"document","exculpatory",-1.62537013843953,0.313955975811895
23,"document","ambiguous",0.457452402023785,0.269042224721434
23,"document","inculpatory",1.73996409367535,0.334523420674982
23,"witness","exculpatory",-0.394073083996031,0.259764336906171
23,"witness","ambiguous",-0.127804836408148,0.164368732533901
